row no.,inner product,misclassified status,b
0,[[4.71]],1,[[4 7 6 4 7 1]]
1,[[9.49]],1,[[4 4 6 7 5 1]]
2,[[5.71]],1,[[6 6 5 4 8 1]]
3,[[8.33]],1,[[8 5 8 6 8 1]]
4,[[12.33]],1,[[8 8 6 7 5 1]]
5,[[7.35]],1,[[5 6 7 6 7 1]]
6,[[6.18]],1,[[4 6 7 5 6 1]]
7,[[10.38]],1,[[7 4 4 6 6 1]]
8,[[8.41]],1,[[5 7 6 6 6 1]]
9,[[5.04]],1,[[6 7 7 4 8 1]]
10,[[12.14]],1,[[8 8 6 8 7 1]]
11,[[10.31]],1,[[5 8 4 7 6 1]]
12,[[10.26]],1,[[4 7 6 7 4 1]]
13,[[6.66]],1,[[8 4 6 4 8 1]]
14,[[7.74]],1,[[6 8 8 6 7 1]]
15,[[8.9]],1,[[6 7 6 7 8 1]]
16,[[11.67]],1,[[7 8 4 7 6 1]]
17,[[12.84]],1,[[7 8 4 8 6 1]]
18,[[10.86]],1,[[6 5 8 7 4 1]]
19,[[10.34]],1,[[5 5 7 8 6 1]]
20,[[9.99]],1,[[5 5 8 8 6 1]]
21,[[9.7]],1,[[8 4 4 6 8 1]]
22,[[6.05]],1,[[6 7 8 4 6 1]]
23,[[11.06]],1,[[7 4 4 6 5 1]]
24,[[11.39]],1,[[8 4 5 6 5 1]]
25,[[10.31]],1,[[4 4 7 8 5 1]]
26,[[10.06]],1,[[5 5 5 6 4 1]]
27,[[10.7]],1,[[6 6 8 8 6 1]]
28,[[8.95]],1,[[4 8 4 7 7 1]]
29,[[11.88]],1,[[8 4 5 7 6 1]]
30,[[7.02]],1,[[5 5 7 4 4 1]]
31,[[10.55]],1,[[4 5 5 7 4 1]]
32,[[10.57]],1,[[8 4 4 5 5 1]]
33,[[12.13]],1,[[5 7 4 8 5 1]]
34,[[8.04]],1,[[8 4 4 4 7 1]]
35,[[5.68]],1,[[6 5 5 4 8 1]]
36,[[4.6]],1,[[5 4 8 4 7 1]]
37,[[11.75]],1,[[8 6 5 8 8 1]]
38,[[10.67]],1,[[8 8 6 5 4 1]]
39,[[11.46]],1,[[7 8 6 8 7 1]]
40,[[7.13]],1,[[5 4 8 5 5 1]]
41,[[10.06]],1,[[8 5 5 6 7 1]]
42,[[10.93]],1,[[7 6 4 7 7 1]]
43,[[9.93]],1,[[6 7 5 7 7 1]]
44,[[8.62]],1,[[8 7 4 5 8 1]]
45,[[7.4]],1,[[4 7 5 6 7 1]]
46,[[9.75]],1,[[8 7 8 6 6 1]]
47,[[7.32]],1,[[7 4 8 4 5 1]]
48,[[7.01]],1,[[5 4 5 4 5 1]]
49,[[9.59]],1,[[8 8 8 7 8 1]]
54,[[1.22]],1,[[-5 -7 -7 -6 -8  1]]
70,[[0.42]],1,[[-6 -4 -5 -5 -7  1]]
76,[[0.47]],1,[[-4 -4 -6 -7 -8  1]]
78,[[0.46]],1,[[-8 -8 -6 -4 -7  1]]
80,[[2.42]],1,[[-4 -6 -7 -5 -7  1]]
81,[[1.58]],1,[[-6 -5 -7 -4 -6  1]]
85,[[2.53]],1,[[-4 -7 -6 -4 -6  1]]
86,[[1.85]],1,[[-4 -7 -6 -4 -5  1]]
93,[[1.12]],1,[[-5 -8 -4 -4 -6  1]]
97,[[0.84]],1,[[-5 -7 -7 -4 -4  1]]
98,[[3.54]],1,[[-4 -7 -5 -4 -8  1]]
100,[[0.82]],1,[[-7 -7 -5 -4 -7  1]]
101,[[0.32]],1,[[-8 -8 -7 -5 -8  1]]
103,[[0.49]],1,[[-8 -7 -6 -4 -7  1]]
106,[[0.93]],1,[[-5 -5 -6 -6 -8  1]]
108,[[0.85]],1,[[-5 -6 -5 -4 -5  1]]
110,[[0.49]],1,[[-8 -7 -6 -4 -7  1]]
111,[[3.59]],1,[[-5 -6 -7 -4 -8  1]]
117,[[0.73]],1,[[-5 -6 -8 -5 -5  1]]
119,[[0.6]],1,[[-8 -4 -8 -4 -6  1]]
120,[[1.42]],1,[[-6 -5 -6 -5 -8  1]]
123,[[0.41]],1,[[-7 -5 -7 -5 -7  1]]
124,[[0.2]],1,[[-6 -5 -5 -4 -5  1]]
144,[[3.63]],1,[[-4 -4 -5 -4 -8  1]]
146,[[2.26]],1,[[-4 -5 -7 -4 -5  1]]
147,[[3.6]],1,[[-4 -5 -5 -4 -8  1]]
149,[[0.75]],1,[[-4 -4 -4 -5 -6  1]]
157,[[2.15]],1,[[-4 -8 -5 -4 -6  1]]
159,[[0.49]],1,[[-5 -7 -6 -4 -4  1]]
160,[[1.66]],1,[[-4 -8 -5 -5 -7  1]]
164,[[0.41]],1,[[-4 -5 -7 -5 -4  1]]
165,[[0.85]],1,[[-4 -6 -5 -4 -4  1]]
169,[[3.18]],1,[[-4 -8 -6 -4 -7  1]]
171,[[2.91]],1,[[-5 -6 -7 -4 -7  1]]
173,[[1.26]],1,[[-8 -4 -6 -4 -8  1]]
175,[[0.41]],1,[[-6 -5 -7 -5 -6  1]]
178,[[0.04]],1,[[-5 -5 -4 -5 -6  1]]
179,[[1.24]],1,[[-4 -4 -4 -4 -5  1]]
180,[[3.89]],1,[[-4 -7 -6 -4 -8  1]]
183,[[0.73]],1,[[-5 -6 -8 -5 -5  1]]
184,[[2.91]],1,[[-4 -6 -7 -4 -6  1]]
192,[[2.52]],1,[[-6 -8 -8 -4 -7  1]]
194,[[0.89]],1,[[-4 -7 -8 -6 -6  1]]
196,[[0.03]],1,[[-8 -6 -6 -5 -8  1]]
198,[[1.12]],1,[[-5 -4 -7 -5 -6  1]]
200,[[3.32]],1,[[-4 -4 -8 -4 -6  1]]
203,[[1.85]],1,[[-7 -7 -6 -4 -8  1]]
205,[[2.34]],1,[[-4 -4 -8 -6 -8  1]]
206,[[0.21]],1,[[-7 -7 -8 -6 -8  1]]
211,[[3.95]],1,[[-4 -5 -6 -4 -8  1]]
214,[[0.81]],1,[[-5 -8 -7 -4 -4  1]]
217,[[0.6]],1,[[-6 -4 -8 -4 -4  1]]
220,[[1.55]],1,[[-6 -6 -7 -4 -6  1]]
222,[[0.14]],1,[[-7 -7 -5 -4 -6  1]]
223,[[0.71]],1,[[-7 -6 -6 -5 -8  1]]
245,[[0.3]],1,[[-6 -8 -5 -5 -7  1]]
251,[[1.38]],1,[[-6 -7 -8 -5 -7  1]]
258,[[3.29]],1,[[-5 -5 -8 -4 -7  1]]
259,[[3.56]],1,[[-5 -7 -7 -4 -8  1]]
266,[[1.93]],1,[[-4 -5 -8 -4 -4  1]]
267,[[0.52]],1,[[-7 -6 -6 -4 -6  1]]
268,[[1.96]],1,[[-4 -5 -7 -6 -8  1]]
274,[[0.74]],1,[[-6 -5 -6 -5 -7  1]]
275,[[1.06]],1,[[-7 -6 -7 -5 -8  1]]
276,[[3.23]],1,[[-6 -7 -8 -4 -8  1]]
277,[[2.62]],1,[[-5 -4 -6 -4 -7  1]]
282,[[2.34]],1,[[-4 -8 -5 -5 -8  1]]
283,[[3.32]],1,[[-4 -4 -8 -4 -6  1]]
287,[[1.09]],1,[[-4 -5 -7 -5 -5  1]]
291,[[3.1]],1,[[-4 -6 -7 -5 -8  1]]
297,[[0.38]],1,[[-4 -6 -7 -5 -4  1]]
302,[[0.25]],1,[[-6 -4 -7 -4 -4  1]]
304,[[1.68]],1,[[-4 -8 -7 -5 -6  1]]
305,[[3.54]],1,[[-4 -7 -5 -4 -8  1]]
307,[[0.44]],1,[[-6 -8 -4 -4 -6  1]]
310,[[3.29]],1,[[-5 -5 -8 -4 -7  1]]
311,[[0.54]],1,[[-5 -7 -7 -6 -7  1]]
312,[[0.49]],1,[[-8 -7 -6 -4 -7  1]]
320,[[0.17]],1,[[-7 -6 -5 -4 -6  1]]
324,[[0.32]],1,[[-8 -8 -7 -5 -8  1]]
333,[[2.52]],1,[[-4 -8 -8 -4 -5  1]]
337,[[0.42]],1,[[-6 -4 -5 -5 -7  1]]
341,[[3.29]],1,[[-4 -5 -8 -4 -6  1]]
343,[[0.01]],1,[[-4 -6 -4 -5 -5  1]]
346,[[0.47]],1,[[-4 -7 -4 -4 -4  1]]
347,[[0.03]],1,[[-4 -7 -5 -7 -8  1]]
353,[[1.08]],1,[[-4 -7 -8 -7 -8  1]]
359,[[1.66]],1,[[-5 -8 -5 -5 -8  1]]
364,[[1.9]],1,[[-4 -6 -8 -4 -4  1]]
366,[[1.71]],1,[[-4 -7 -7 -5 -6  1]]
368,[[0.51]],1,[[-6 -7 -8 -4 -4  1]]
369,[[3.56]],1,[[-5 -7 -7 -4 -8  1]]
370,[[0.06]],1,[[-5 -5 -6 -5 -5  1]]
377,[[0.09]],1,[[-5 -4 -6 -5 -5  1]]
385,[[0.68]],1,[[-7 -7 -6 -5 -8  1]]
387,[[1.06]],1,[[-4 -6 -7 -5 -5  1]]
388,[[1.99]],1,[[-4 -8 -4 -5 -8  1]]
389,[[0.82]],1,[[-4 -7 -5 -4 -4  1]]
392,[[1.66]],1,[[-4 -4 -8 -6 -7  1]]
393,[[1.09]],1,[[-4 -5 -7 -5 -5  1]]
397,[[1.61]],1,[[-4 -5 -6 -6 -8  1]]
400,[[1.93]],1,[[-8 -5 -8 -4 -8  1]]
401,[[0.14]],1,[[-5 -7 -5 -4 -4  1]]
404,[[0.3]],1,[[-4 -4 -8 -6 -5  1]]
407,[[1.61]],1,[[-7 -4 -7 -4 -7  1]]
412,[[1.22]],1,[[-7 -6 -8 -4 -6  1]]
414,[[2.57]],1,[[-4 -5 -4 -4 -7  1]]
415,[[0.25]],1,[[-8 -4 -7 -4 -6  1]]
421,[[0.73]],1,[[-4 -6 -8 -5 -4  1]]
423,[[0.38]],1,[[-4 -6 -7 -5 -4  1]]
425,[[0.35]],1,[[-4 -7 -7 -5 -4  1]]
429,[[0.7]],1,[[-6 -7 -8 -5 -6  1]]
434,[[1.54]],1,[[-5 -8 -8 -6 -8  1]]
438,[[0.13]],1,[[-6 -8 -7 -4 -4  1]]
441,[[4.68]],1,[[-4 -4 -8 -4 -8  1]]
442,[[2.26]],1,[[-4 -5 -7 -4 -5  1]]
445,[[0.42]],1,[[-5 -4 -5 -5 -6  1]]
449,[[1.94]],1,[[-6 -4 -6 -4 -7  1]]
451,[[0.39]],1,[[-5 -5 -5 -5 -6  1]]
453,[[8.8817842e-16]],1,[[-4 -4 -8 -8 -8  1]]
455,[[0.25]],1,[[-6 -4 -7 -4 -4  1]]
456,[[2.39]],1,[[-5 -7 -7 -5 -8  1]]
458,[[2.58]],1,[[-7 -6 -8 -4 -8  1]]
460,[[2.58]],1,[[-7 -6 -8 -4 -8  1]]
465,[[0.6]],1,[[-5 -5 -7 -6 -7  1]]
466,[[2.51]],1,[[-5 -7 -4 -4 -8  1]]
467,[[1.87]],1,[[-4 -8 -7 -6 -8  1]]
469,[[0.36]],1,[[-7 -6 -5 -5 -8  1]]
471,[[0.92]],1,[[-5 -6 -8 -6 -7  1]]
475,[[3.92]],1,[[-4 -6 -6 -4 -8  1]]
478,[[2.64]],1,[[-7 -4 -8 -4 -8  1]]
480,[[0.18]],1,[[-4 -8 -8 -6 -5  1]]
482,[[1.]],1,[[-6 -8 -7 -5 -7  1]]
486,[[4.33]],1,[[-4 -4 -7 -4 -8  1]]
488,[[0.71]],1,[[-4 -6 -6 -5 -5  1]]
489,[[0.7]],1,[[-4 -8 -7 -7 -8  1]]
491,[[1.83]],1,[[-6 -7 -4 -4 -8  1]]
496,[[0.5]],1,[[-7 -6 -4 -4 -7  1]]
502,[[-3.4]],-1,[[ 7  4  8  8  6 -1]]
505,[[-0.89]],-1,[[ 6  7  4  4  4 -1]]
507,[[-5.6]],-1,[[ 7  8  4  8  5 -1]]
508,[[-0.38]],-1,[[ 8  4  8  6  8 -1]]
509,[[-2.47]],-1,[[ 5  6  5  8  7 -1]]
510,[[-0.42]],-1,[[ 5  4  4  6  7 -1]]
511,[[-1.2]],-1,[[ 7  8  6  6  7 -1]]
512,[[-3.73]],-1,[[ 8  8  6  7  6 -1]]
513,[[-0.07]],-1,[[ 6  4  5  6  8 -1]]
514,[[-1.43]],-1,[[ 6  4  5  6  6 -1]]
515,[[-1.88]],-1,[[ 6  8  6  6  5 -1]]
517,[[-0.51]],-1,[[ 6  7  4  6  8 -1]]
519,[[-3.16]],-1,[[ 8  7  7  8  8 -1]]
520,[[-2.23]],-1,[[ 5  8  5  6  4 -1]]
521,[[-2.66]],-1,[[ 7  6  5  7  7 -1]]
522,[[-1.46]],-1,[[ 5  5  5  6  5 -1]]
524,[[-3.28]],-1,[[ 7  4  5  7  6 -1]]
525,[[-0.84]],-1,[[ 7  7  5  6  8 -1]]
526,[[-1.59]],-1,[[ 5  4  4  7  7 -1]]
527,[[-3.01]],-1,[[ 7  6  4  7  7 -1]]
529,[[-4.36]],-1,[[ 8  7  8  7  4 -1]]
530,[[-2.53]],-1,[[ 6  7  6  6  4 -1]]
532,[[-3.01]],-1,[[ 8  6  4  7  8 -1]]
533,[[-1.9]],-1,[[ 7  4  7  7  7 -1]]
534,[[-4.83]],-1,[[ 5  5  4  8  4 -1]]
536,[[-3.5]],-1,[[ 8  5  5  6  5 -1]]
539,[[-1.09]],-1,[[ 5  5  8  6  4 -1]]
540,[[-2.45]],-1,[[ 6  6  7  8  7 -1]]
543,[[-0.51]],-1,[[ 4  7  4  6  6 -1]]
546,[[-0.98]],-1,[[ 5  7  6  7  7 -1]]
548,[[-1.99]],-1,[[ 4  7  7  7  4 -1]]
549,[[-2.66]],-1,[[ 7  6  5  7  7 -1]]
unclassified,220
